idDrink,strDrink,strDrinkAlternate,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsIT,strInstructionsZH-HANS,strInstructionsZH-HANT,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strImageSource,strImageAttribution,strCreativeCommonsConfirmed,dateModified
12572,Bora Bora,,,,Cocktail,,Non alcoholic,Highball glass,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",,"In einem Mixer oder Shaker zubereiten, in einem Highball-Glas ""On the Rocks"" servieren. Mit 1 Scheibe Ananas und einer Kirsche garnieren.",,"Preparare in un frullatore o uno shaker, servire in un bicchiere highball con ghiaccio.Guarnire con 1 fetta di ananas e una ciliegia.",,,https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,Pineapple juice,Passion fruit juice,Lemon juice,Grenadine,,,,,,,,,,,,10 cl ,6 cl ,1 cl ,1 cl ,,,,,,,,,,,,,,No,2016-09-06 23:43:31
12730,Castillian Hot Chocolate,,,,Cocoa,,Non alcoholic,Coffee mug,"Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water, and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture, stirring it with a whisk, and gradually pour in the milk. Continue stirring with the whisk as you bring the liquid to a simmer. Allow the chocolate to simmer for about 10 minutes, stirring often, until it is thick, glossy and completely smooth. Serve steaming hot in coffee mug. Serves six.",,"Kakao und Zucker zusammen in einen mittelgroßen Topf geben. Die Maisstärke im Wasser auflösen und in Kakao und Zucker einrühren, bis eine glatte Masse entsteht. Beginnen Sie mit dem Erwärmen der Mischung, rühren Sie sie mit einem Schneebesen um und gießen Sie die Milch langsam ein. Mit dem Schneebesen weiterrühren, während Sie die Flüssigkeit zum Erhitzen bringen. Die Schokolade ca. 10 Minuten unter ständigem Rühren köcheln lassen, bis sie dick, glänzend und völlig glatt ist. In der Kaffeetasse dampfend heiß servieren. Für sechs Personen.",,"Trasferisci il cacao e lo zucchero in una casseruola di medie dimensioni.Sciogli l'amido di mais nell'acqua e amalgalo con il cacao e lo zucchero fino a ottenere una pasta liscia. Iniziate a scaldare il composto, mescolando con una frusta, e versate gradualmente il latte. Continua a mescolare con la frusta mentre porti il liquido a ebollizione. Lasciare sobbollire il cioccolato per circa 10 minuti, mescolando spesso, fino a quando non sarà denso, lucido e completamente liscio. Adesso la vostra cioccolata calda è pronta. Per sei persone.",,,https://www.thecocktaildb.com/images/media/drink/3nbu4a1487603196.jpg,Cocoa powder,Sugar,Cornstarch,Water,Milk,,,,,,,,,,,1/2 cup ,1 cup ,7 tsp ,1/2 cup ,1 qt ,,,,,,,,,,,,,No,2017-02-20 15:06:36
12732,Chocolate Beverage,,,,Cocoa,,Non alcoholic,Coffee mug,"Boil milk in the top of a deep double boiler five minutes. Remove from fire and add chocolate, mixed with the cinnamon, a little at a time, beating with molinillo or egg beater after each addition. When the chocolate is thoroughly blended, heat to the boiling point. Place over bottom of double boiler and add eggs, whipping constantly, until they are thoroughly blended and the mixture is frothing. Serve in coffee mug. Serves eight.",,"Kochen Sie Milch in dem oberen Bereich eines Doppelkochers für fünf Minuten. Von der Kochstelle nehmen und Schokolade, gemischt mit dem Zimt, nach und nach hinzufügen. Mit einem Molinillo oder Schneebesen nach jedem Hinzufügen, schlagen. Wenn die Schokolade gründlich vermischt ist, bis zum Kochen erhitzen. Auf den Boden des Doppelkochers legen und die Eier unter ständigem Schlagen hinzufügen, bis sie vollständig vermischt sind und die Mischung schäumt. In einer Kaffeetasse servieren. Für acht Personen.",,"Fai bollire il latte a bagnomaria per cinque minuti.
Togliete dal fuoco e aggiungete poco alla volta il cioccolato, mescolato alla cannella.
Sbattere con un molinillo o una frusta dopo ogni aggiunta.
Quando il cioccolato è completamente amalgamato, scalda a ebollizione.
Mettere sul fondo del bagnomaria e aggiungere le uova, sbattendo continuamente, fino a quando non saranno completamente amalgamate e il composto non sarà schiumoso.
Servire in una tazza da caffè.
Per otto persone.",,,https://www.thecocktaildb.com/images/media/drink/jbqrhv1487603186.jpg,Milk,Chocolate,Cinnamon,Egg,,,,,,,,,,,,6 cups ,3 oz Mexican ,1 tsp powdered ,3 ,,,,,,,,,,,,,,No,2017-02-20 15:06:26
12734,Chocolate Drink,,,,Cocoa,,Non alcoholic,Coffee mug,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.",,"Schmelzen Sie den Riegel in einer kleinen Menge kochendem Wasser. Milch zugeben. Bei schwacher Hitze kochen und dabei sanft (mit einem Schneebesen) aufschlagen, bis es gut erhitzt ist. Nicht aufkochen! In einer Kaffeetasse servieren.",,"Sciogliere la barretta in una piccola quantità di acqua bollente. Aggiungi il latte. Cuocere a fuoco basso, montando delicatamente con una frusta fino a quando non sarà ben riscaldato.Non farlo bollire! Servire in tazza da caffè.",,,https://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg,Chocolate,Milk,Water,,,,,,,,,,,,,125 gr,3/4 L ,,,,,,,,,,,,,,,,No,2017-02-20 15:06:20
17108,Coke and Drops,,,,Soft Drink / Soda,,Non alcoholic,Cocktail glass,"Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.",,"Nimm ein Glas, gieße die Cola in das Glas, dann nimmst du 7 Tropfen Zitronensaft. Mit einer Zitronenscheibe am Rand des Glases garnieren.",,"Prendi un bicchiere, versa la Coca-Cola nel bicchiere, quindi prendi 7 gocce di succo di limone.
Guarnire con una fetta di limone sul bordo del bicchiere",,,https://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg,Coca-Cola,Lemon juice,,,,,,,,,,,,,,1 dl ,7 drops ,,,,,,,,,,,,,,,,No,2016-09-01 09:42:47
12890,Cranberry Punch,,,,Punch / Party Drink,,Non alcoholic,Punch Bowl,"Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold.",,"Die ersten vier Zutaten mischen. Rühren, bis der Zucker aufgelöst ist, abkühlen lassen. Dann kurz vor dem Servieren Ginger Ale hinzufügen. Füge einen Eisring hinzu, um den Punsch kalt zu halten.",,"Combina i primi quattro ingredienti. Mescolare fino a quando lo zucchero si è sciolto, raffreddare. Aaggiungere il ginger ale appena prima di servire. Aggiungi un po’ di ghiaccio per mantenere freddo il punch.",,,https://www.thecocktaildb.com/images/media/drink/mzgaqu1504389248.jpg,Cranberry juice,Sugar,Pineapple juice,Almond flavoring,Ginger ale,,,,,,,,,,,4 cups ,1 1/2 cup ,4 cups ,1 tblsp ,2 qt ,,,,,,,,,,,,,No,2017-09-02 22:54:08
12736,Drinking Chocolate,,,,Cocoa,,Non alcoholic,Coffee mug,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug.",,"Sahne und Milch mit Zimt und Vanilleschote sehr langsam für 15-20 Minuten erhitzen. (Wenn Sie keine Schoten haben, geben Sie nach dem Erhitzen 1-2 Teelöffel Vanillearoma dazu). Bohnen und Zimt entfernen. Fügen Sie die Schokolade hinzu. Mischen, bis sie vollständig geschmolzen sind. Mit sehr dicker, frischer Schlagsahne servieren. Für 1-2 Personen. Für eine reichhaltigere Schokolade verwenden Sie 4 oz Milch, 4 oz Sahne, 4 oz Schokolade. In einer Kaffeetasse servieren.",,"Riscaldare la panna e il latte con la cannella e il baccello di vaniglia molto lentamente per 15-20 minuti.
(Se non hai i baccelli, aggiungi 1-2 cucchiaini di aroma di vaniglia dopo il riscaldamento).
Rimuovere i fagioli e la cannella.
Aggiungi il cioccolato.
Mescolare fino a completo scioglimento.
Servire con panna montata fresca e molto densa.
Per 1-2 persone.
Per un cioccolato più ricco, usa 120 ml di latte, 120 ml di panna e 100 ml di cioccolato.
Servire in una tazza da caffè.",,,https://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg,Heavy cream,Milk,Cinnamon,Vanilla,Chocolate,Whipped cream,,,,,,,,,,2 oz ,6-8 oz ,1 stick ,1 ,2 oz finely chopped dark ,Fresh ,,,,,,,,,,,,No,2017-02-20 15:06:13
12668,Egg Cream,,,,Other/Unknown,,Non alcoholic,Coffee mug,"Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.",,Sirup und Milch in einem Fontänenglas mischen. Mit Sodawasser aufgießen und mit einem Strohhalm servieren.,,"Mescolare lo sciroppo e il latte in un bicchiere da fontana. Aggiungere la soda water, servire con una cannuccia.",,,https://www.thecocktaildb.com/images/media/drink/mvis731484430445.jpg,Chocolate syrup,Milk,Soda water,,,,,,,,,,,,,2 tblsp ,6 oz whole ,6 oz ,,,,,,,,,,,,,,,No,2017-01-14 21:47:26
12768,Frappé,,,,Coffee / Tea,,Non alcoholic,Highball Glass,"Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.",,"Zusammenmischen. Mischen Sie mit höchster Mischgeschwindigkeit für ca. 1 Minute. In ein Glas gießen und mit einem Strohhalm trinken. Notizen: Dies funktioniert am besten, wenn alles kalt ist (wenn Sie frischen Kaffee zubereiten, mischen Sie ihn mit der Milch und lassen Sie ihn 1/2 Stunde im Kühlschrank stehen. Wenn es nicht schaumig ist, füge mehr Milch oder sogar nur etwas mehr Milchpulver hinzu. Der Schaum verwandelt sich allmählich in Flüssigkeit am Boden des Glases, so dass Sie feststellen werden, dass Sie sitzen und dieses etwa 1/2 Stunde lang trinken können, wobei immer mehr Eiskaffee am Boden auftaucht. Sehr erfrischend.",,"Frullare alla massima velocità del frullatore per circa 1 minuto.
Versare in un bicchiere e bere con una cannuccia.
Note: Funziona meglio se tutto è freddo (se prepari il caffè fresco, mescolalo con il latte e lascialo riposare in frigo per mezz'ora.
Se non è schiumoso, aggiungi altro latte o anche solo altro latte in polvere.
La schiuma diventa gradualmente liquida sul fondo del bicchiere, quindi scoprirai che puoi sederti e berlo per circa mezz'ora, con sempre più caffè freddo che compare sul fondo.
Molto rinfrescante.",,,https://www.thecocktaildb.com/images/media/drink/vqwryq1441245927.jpg,Coffee,Milk,Sugar,,,,,,,,,,,,,1/2 cup black ,1/2 cup ,1-2 tsp ,,,,,,,,,,,,,,,No,2015-09-03 03:05:28
12670,Fruit Cooler,,,,Other/Unknown,,Non alcoholic,Highball Glass,"Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve.",,"Erdbeeren mit Zucker vermengen und im Kühlschrank über Nacht ruhen lassen. Zitrone schneiden, zwei Scheiben zurücklegen. Den Rest entsaften. Zitronensaft, Erdbeeren, Apfelsaft und Sodawasser mischen. Zitronenscheiben hinzufügen (nur Dekor). In Gläser, Eiswürfel und eine Apfelscheibe geben. Gießen Sie das Getränk hinein und servieren Sie es.",,"Condite le fragole con lo zucchero e lasciate riposare per una notte in frigorifero. Taglia il limone e metti da parte due fette. Spremi il resto. Mescola il succo di limone, le fragole, il succo di mela e l'acqua gassata. Aggiungi le fette di limone (giusto per decorazione).Nei bicchieri mettere i cubetti di ghiaccio e una fetta di mela.Versa la bevanda e servi. ",,,https://www.thecocktaildb.com/images/media/drink/i3tfn31484430499.jpg,Apple juice,Strawberries,Sugar,Lemon,Apple,Soda water,Ice,,,,,,,,,1 can frozen ,1 cup ,2 tblsp ,1 ,1 ,1 L ,,,,,,,,,,,,No,2017-01-14 21:48:19
12672,Fruit Flip-Flop,,,,Other/Unknown,,Non alcoholic,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",,"Alle Zutaten in den Mixer geben - abdecken und bei mittlerer Geschwindigkeit schaumig schlagen, bis sie gut vermischt sind. In ein großes, 2 mittlere oder 3 kleine Gläser füllen und geniessen.",,"Mettere tutti gli ingredienti nella caraffa del frullatore - coprire e montare a velocità media fino a quando non sono ben amalgamati.Versare in un bicchiere alto, 2 medi o 3 piccoli e bere.",,,https://www.thecocktaildb.com/images/media/drink/nfdx6p1484430633.jpg,Yoghurt,Fruit juice,,,,,,,,,,,,,,1 cup ,1 cup ,,,,,,,,,,,,,,,,No,2017-01-14 21:50:33
12674,Fruit Shake,,,,Other/Unknown,,Non alcoholic,Highball Glass,Blend til smooth.,,Bis zur geschmeidigen Konsistenz mischen.,,Frulla fino a ottenere un composto omogeneo.,,,https://www.thecocktaildb.com/images/media/drink/q0fg2m1484430704.jpg,Yoghurt,Banana,Orange juice,Fruit,Ice,,,,,,,,,,,1 cup fruit ,1 ,4 oz frozen ,1/2 piece textural ,6 ,,,,,,,,,,,,,No,2017-01-14 21:51:44
12712,Grape lemon pineapple Smoothie,,,,Other/Unknown,,Non alcoholic,Highball glass,Throw everything into a blender and liquify.,,Alles in einen Mixer geben und aufschlagen.,,Getta tutto in un frullatore e liquida.,,,https://www.thecocktaildb.com/images/media/drink/54z5h71487603583.jpg,Grapes,Lemon,Pineapple,,,,,,,,,,,,,1 cup ,1/4 ,1/2 ,,,,,,,,,,,,,,,No,2017-02-20 15:13:03
12954,Holloween Punch,,,,Punch / Party Drink,,Non alcoholic,Punch bowl,"Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine.",,"Nimm viel Traubensaft und kohlensäurehaltige Flüssigkeiten (Club-Soda, Ginger Ale, Zitronenlimonade, was auch immer). In einer Bowle mischen. Nehmen Sie Orangenbrause und Limettenbrause. Bläschen im Punsch schweben lassen, sie ein wenig zergehen lassen, so dass sich ein böser Film über die Oberseite des Punschs verteilt, aber es gibt immer noch ""Blasen"" in Form von Brause-Schälchen darin. Sieht schrecklich aus, schmeckt gut.",,"Prendi un mazzetto di succo d'uva e un po 'di roba frizzante (club soda, ginger ale, sprite, qualunque cosa).
Mescolali in una ciotola da punch.
Prendi il sorbetto all'arancia e il sorbetto al lime.
Estrarre le palette e farle galleggiare nel punch, lasciarle sciogliere un po 'in modo che una pellicola sgradevole si diffonda su tutta la parte superiore del punch ma ci siano ancora delle ""bolle"" sotto forma di palline di sorbetto.
Sembra orribile, ha un buon sapore.",,,https://www.thecocktaildb.com/images/media/drink/lfeoe41504888925.jpg,Grape juice,Carbonated soft drink,Sherbet,Sherbet,,,,,,,,,,,,,", orange
",,,,,,,,,,,,,,,,No,2017-09-08 17:42:05
12738,Hot Chocolate to Die for,,,,Cocoa,,Non alcoholic,Coffee mug,"Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream.",,"Schokolade, Butter und Vanille in einem Doppelkocher schmelzen. Wenn es glatt ist, die Sahne unterrühren.",,"Sciogliere il cioccolato, il burro e la vaniglia a bagnomaria.Quando risulterà liscio aggiungere la panna.",,,https://www.thecocktaildb.com/images/media/drink/0lrmjp1487603166.jpg,Chocolate,Butter,Vanilla extract,Half-and-half,Marshmallows,,,,,,,,,,,12 oz fine ,1 tsp ,1/2 tsp ,1 cup ,mini ,,,,,,,,,,,,,No,2017-02-20 15:06:06
12770,Iced Coffee,,,,Coffee / Tea,,Non alcoholic,Coffee mug,Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.,,"Zusammenmischen, bis Kaffee und Zucker aufgelöst sind. Milch zugeben. Gut schütteln. Die Verwendung eines Mixers oder Milchshakemachers ergibt es ein sehr schaumiges Getränk. In einer Kaffeetasse servieren.",,Mescolare fino a quando il caffè e lo zucchero si saranno sciolti. Aggiungi il latte. Agitare bene. L'uso di un frullatore o di un frullato produce una bevanda molto schiumosa. Servito in tazza da caffè.,,,https://www.thecocktaildb.com/images/media/drink/ytprxy1454513855.jpg,Coffee,Sugar,Water,Milk,,,,,,,,,,,,1/4 cup instant ,1/4 cup ,1/4 cup hot ,4 cups cold ,,,,,,,,,,,,,,No,2016-02-03 15:37:35
17176,Ipamena,,,,Ordinary Drink,,Non alcoholic,Wine Glass,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime",,"Eine halbe Limette in Stücke schneiden, in einen Shaker geben, Zucker hinzufügen und zerdrücken. Passionsfruchtsaft abmessen, in den Shaker geben und mit Eiswürfeln auffüllen. Schließen Sie den Shaker und schütteln Sie ihn kräftig. Die Flüssigkeit in ein Glas gießen, mit Ginger Ale auffüllen, mit einem Teelöffel umrühren und dann den Rand des Glases mit einer Scheibe Limette garnieren.",,"Tagliare a pezzi mezzo lime, metterlo in uno shaker, aggiungere lo zucchero e schiacciare.
Misurate il succo di frutto della passione, aggiungetelo allo shaker e riempitelo con cubetti di ghiaccio.
Chiudi lo shaker e agita energicamente.
Versare il liquido in un bicchiere, rabboccare con ginger ale, mescolare con un cucchiaino e poi guarnire il bordo del bicchiere con una fetta di lime",,,https://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,Lime,Brown sugar,Passion fruit juice,Ginger ale,Ice,,,,,,,,,,,½,2 tsp,4 cl,top up with,fill,,,,,,,,,,,,,No,2016-07-21 09:49:52
12688,Just a Moonmint,,,,Milk / Float / Shake,,Non alcoholic,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",,"Alle Zutaten in den Mixer geben - abdecken und bei mittlerer Geschwindigkeit schaumig schlagen, bis sie gut vermischt sind. In ein großes, 2 mittlere oder 3 kleine Gläser füllen und geniessen.",,"Mettere tutti gli ingredienti nella caraffa del frullatore - coprire e montare a velocità media fino a quando non sono ben amalgamati.Versare in un bicchiere alto, 2 medi o 3 piccoli e bere.",,,https://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg,Milk,Chocolate syrup,Mint syrup,,,,,,,,,,,,,2 cups ,,,,,,,,,,,,,,,,,No,2017-02-20 15:20:36
12720,Kill the cold Smoothie,,,,Other/Unknown,,Non alcoholic,Highball glass,Juice ginger and lemon and add it to hot water. You may add cardomom.,,Ingwer und Zitrone entsaften und in heißes Wasser geben. Du kannst Cardomom hinzufügen.,,Spremere lo zenzero e il limone e aggiungerlo all'acqua calda.Puoi aggiungere il cardamomo.,,,https://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg,Ginger,Lemon,Water,,,,,,,,,,,,,1 inch ,1/4 ,1 cup hot ,,,,,,,,,,,,,,,No,2017-02-20 15:10:15
12714,Kiwi Papaya Smoothie,,,,Other/Unknown,,Non alcoholic,Highball Glass,Throw everything into a blender and liquify.,,Alles in einen Mixer geben und aufschlagen.,,Getta tutto in un frullatore e liquida.,,,https://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,Kiwi,Papaya,,,,,,,,,,,,,,3 ,1/2 ,,,,,,,,,,,,,,,,No,2017-02-20 15:12:51
